"Commodity","Year","Variable","Unit","Value"
"Aluminum",2018,"Consumption - US","Million tonne",4.9
"Aluminum",2019,"Consumption - US","Million tonne",4.98
"Aluminum",2020,"Consumption - US","Million tonne",3.93
"Aluminum",2021,"Consumption - US","Million tonne",4.08
"Aluminum",2022,"Consumption - US","Million tonne",5.1
"Aluminum",2018,"Production Primary - US","Million tonne",0.891
"Aluminum",2019,"Production Primary - US","Million tonne",1.093
"Aluminum",2020,"Production Primary - US","Million tonne",1.012
"Aluminum",2021,"Production Primary - US","Million tonne",0.889
"Aluminum",2022,"Production Primary - US","Million tonne",0.86
"Aluminum",2018,"Production Secondary (old scrap) - US","Million tonne",1.57
"Aluminum",2019,"Production Secondary (old scrap) - US","Million tonne",1.54
"Aluminum",2020,"Production Secondary (old scrap) - US","Million tonne",1.42
"Aluminum",2021,"Production Secondary (old scrap) - US","Million tonne",1.52
"Aluminum",2022,"Production Secondary (old scrap) - US","Million tonne",1.5
"Aluminum",2018,"Production Secondary (new scrap) - US","Million tonne",2.14
"Aluminum",2019,"Production Secondary (new scrap) - US","Million tonne",1.92
"Aluminum",2020,"Production Secondary (new scrap) - US","Million tonne",1.63
"Aluminum",2021,"Production Secondary (new scrap) - US","Million tonne",1.78
"Aluminum",2022,"Production Secondary (new scrap) - US","Million tonne",1.9
"Aluminum",2018,"Production - US","Million tonne",4.601
"Aluminum",2019,"Production - US","Million tonne",4.553
"Aluminum",2020,"Production - US","Million tonne",4.062
"Aluminum",2021,"Production - US","Million tonne",4.189
"Aluminum",2022,"Production - US","Million tonne",4.26
"Aluminum",2018,"Import - US","Million tonne",5.55
"Aluminum",2019,"Import - US","Million tonne",5.28
"Aluminum",2020,"Import - US","Million tonne",4.26
"Aluminum",2021,"Import - US","Million tonne",4.83
"Aluminum",2022,"Import - US","Million tonne",5.9
"Aluminum",2018,"Import Scrap - US","Million tonne",0.695
"Aluminum",2019,"Import Scrap - US","Million tonne",0.596
"Aluminum",2020,"Import Scrap - US","Million tonne",0.542
"Aluminum",2021,"Import Scrap - US","Million tonne",0.68
"Aluminum",2022,"Import Scrap - US","Million tonne",0.64
"Aluminum",2018,"Export - US","Million tonne",1.31
"Aluminum",2019,"Export - US","Million tonne",1.11
"Aluminum",2020,"Export - US","Million tonne",0.906
