"year","scenario","technology","newval"
"2022","IRA","Bio CCS",0.000250515713811169
"2022","IRA","Biomass",-8.67153662016728
"2022","IRA","Coal",-16.1640829500288
"2022","IRA","Coal CCS",1.11786294497123
"2022","IRA","Gas CCS",0.824585142417498
"2022","IRA","Hydro",1.28878102258643
"2022","IRA","Hydrogen Blue",0
"2022","IRA","Hydrogen Green",0.0291692696277626
"2022","IRA","NGCC",10.0801414272633
"2022","IRA","NGGT",-12.3889872549419
"2022","IRA","Nuclear Existing",-0.219061348332384
"2022","IRA","Nuclear New",0.150795508329166
"2022","IRA","Solar Distributed",1.07361267411243
"2022","IRA","Storage",2.1260398431459
"2022","IRA","onshore wind",12.4065665157254
"2022","IRA","utility-scale solar pv",26.8922928274705
"2022","Ref","Bio CCS",4.3884944422554e-10
"2022","Ref","Biomass",-8.53166250911819
"2022","Ref","Coal",-10.573231053724
"2022","Ref","Coal CCS",0.0600219108279181
"2022","Ref","Gas CCS",0.0484066677254682
"2022","Ref","Hydro",1.33744561645231
"2022","Ref","Hydrogen Blue",0
"2022","Ref","Hydrogen Green",9.26898720381362e-08
"2022","Ref","NGCC",13.77001138892
"2022","Ref","NGGT",-13.1507142555149
"2022","Ref","Nuclear Existing",-0.578355362308189
"2022","Ref","Nuclear New",0.168074319540802
"2022","Ref","Solar Distributed",-0.071923591770118
"2022","Ref","Storage",0.600967093407669
"2022","Ref","onshore wind",6.3359314682373
"2022","Ref","utility-scale solar pv",21.4027744942963
"2023","IRA","Bio CCS",0.000250515713811169
"2023","IRA","Biomass",-8.67153662016728
"2023","IRA","Coal",-16.1640829500288
"2023","IRA","Coal CCS",1.11786294497123
"2023","IRA","Gas CCS",0.824585142417498
"2023","IRA","Hydro",1.28878102258643
"2023","IRA","Hydrogen Blue",0
"2023","IRA","Hydrogen Green",0.0291692696277626
"2023","IRA","NGCC",10.0801414272633
"2023","IRA","NGGT",-12.3889872549419
"2023","IRA","Nuclear Existing",-0.219061348332384
"2023","IRA","Nuclear New",0.150795508329166
"2023","IRA","Solar Distributed",1.07361267411243
"2023","IRA","Storage",2.1260398431459
"2023","IRA","onshore wind",12.4065665157254
"2023","IRA","utility-scale solar pv",26.8922928274705
"2023","Ref","Bio CCS",4.3884944422554e-10
"2023","Ref","Biomass",-8.53166250911819
"2023","Ref","Coal",-10.573231053724
"2023","Ref","Coal CCS",0.0600219108279181
"2023","Ref","Gas CCS",0.0484066677254682
"2023","Ref","Hydro",1.33744561645231
"2023","Ref","Hydrogen Blue",0
