"model","year","technology","scenario","newval"
"2021","2021","Nuclear Existing","IRA",0
"EPS","2025","Nuclear Existing","IRA",-0.0952500000000001
"EPS","2030","Nuclear Existing","IRA",0
"EPS","2035","Nuclear Existing","IRA",-18.8
"E4ST","2035","Nuclear Existing","IRA",-0.347204412819983
"GCAM","2025","Nuclear Existing","IRA",0.0142271433458738
"GCAM","2030","Nuclear Existing","IRA",-0.180894214518179
"GCAM","2035","Nuclear Existing","IRA",0.543296878959541
"Haiku","2025","Nuclear Existing","IRA",0.385400000000001
"Haiku","2030","Nuclear Existing","IRA",-1.25946
"Haiku","2035","Nuclear Existing","IRA",-3.75854
"IPM-E","2035","Nuclear Existing","IRA",-1.65698
"IPM-N","2025","Nuclear Existing","IRA",-0.863474008749979
"IPM-N","2030","Nuclear Existing","IRA",-1.3888198738
"IPM-N","2035","Nuclear Existing","IRA",-15.1420009192
"MARKAL","2025","Nuclear Existing","IRA",0.355
"MARKAL","2030","Nuclear Existing","IRA",-0.218000000000001
"MARKAL","2035","Nuclear Existing","IRA",0
"NEMS-RHG","2025","Nuclear Existing","IRA",0.1296845
"NEMS-RHG","2030","Nuclear Existing","IRA",-0.177096599999999
"NEMS-RHG","2035","Nuclear Existing","IRA",-14.4216504
"ReEDS","2025","Nuclear Existing","IRA",0.361699999999999
"ReEDS","2030","Nuclear Existing","IRA",-0.447999999999999
"ReEDS","2035","Nuclear Existing","IRA",-0.153999999999999
"REGEN","2025","Nuclear Existing","IRA",-0.692608250000003
"REGEN","2030","Nuclear Existing","IRA",0
"REGEN","2035","Nuclear Existing","IRA",0
"RIO","2025","Nuclear Existing","IRA",0.125
"RIO","2030","Nuclear Existing","IRA",-0.2
"RIO","2035","Nuclear Existing","IRA",-0.2
"2021","2021","Nuclear New","IRA",0
"EPS","2025","Nuclear New","IRA",0.75
"EPS","2030","Nuclear New","IRA",0.2
"EPS","2035","Nuclear New","IRA",0
"E4ST","2035","Nuclear New","IRA",1.180728572632e-06
"GCAM","2025","Nuclear New","IRA",0
"GCAM","2030","Nuclear New","IRA",0
"GCAM","2035","Nuclear New","IRA",0
"Haiku","2025","Nuclear New","IRA",0
"Haiku","2030","Nuclear New","IRA",0
"Haiku","2035","Nuclear New","IRA",0
"IPM-E","2035","Nuclear New","IRA",0
"IPM-N","2025","Nuclear New","IRA",0
"IPM-N","2030","Nuclear New","IRA",0
"IPM-N","2035","Nuclear New","IRA",0
"MARKAL","2025","Nuclear New","IRA",0
"MARKAL","2030","Nuclear New","IRA",0
"MARKAL","2035","Nuclear New","IRA",0
"NEMS-RHG","2025","Nuclear New","IRA",0
"NEMS-RHG","2030","Nuclear New","IRA",0
"NEMS-RHG","2035","Nuclear New","IRA",0
"ReEDS","2025","Nuclear New","IRA",0
"ReEDS","2030","Nuclear New","IRA",0
"ReEDS","2035","Nuclear New","IRA",0
"REGEN","2025","Nuclear New","IRA",0.908749998922595
"REGEN","2030","Nuclear New","IRA",-4.35984937041667e-10
"REGEN","2035","Nuclear New","IRA",-9.59762047614277e-11
"RIO","2025","Nuclear New","IRA",0
"RIO","2030","Nuclear New","IRA",0.2
"RIO","2035","Nuclear New","IRA",0
"2021","2021","Hydro","IRA",0
"EPS","2025","Hydro","IRA",-0.0447500000000005
"EPS","2030","Hydro","IRA",-0.126599999999999
"EPS","2035","Hydro","IRA",-0.103999999999999
"E4ST","2035","Hydro","IRA",0
"GCAM","2025","Hydro","IRA",7.16693516121675
"GCAM","2030","Hydro","IRA",-0.0130759216185993
