"policy","tech","year","totalspurdistance","Cu","Glass","Concrete","Aluminum","Steel"
"baseline","offshorewind","2030",7017.376873,28937.0398305146,7698.06835936446,1724208.16344267,94409.5990277576,479011.891179164
"baseline","offshorewind","2035",30707.9386555,126628.063458606,33686.6346532917,7545109.72839834,413135.025794236,2096149.0362846
"baseline","solar","2025",8051.78622262,33202.5574295735,8832.8162899735,1978368.24023982,108326.219681828,549621.5203586
"baseline","solar","2030",14380.895924215,59301.4406506558,15775.8549807209,3533465.36731617,193476.08692486,981651.730864499
"baseline","solar","2035",23996.521122495,98952.6856092259,26324.2039484374,5896077.46062841,322841.708267457,1638022.180173
"baseline","wind","2025",47938.312575655,197679.686514592,52588.3694033677,11778707.5399407,644947.100639339,3272308.46830455
"baseline","wind","2030",72551.57007941,299175.562485748,79589.1336831895,17826320.5276622,976086.187758517,4952429.57884611
"baseline","wind","2035",31995.42329434,131937.168976173,35099.0063900237,7861451.79820169,430456.442429982,2184033.79192424
"ira_mid","offshorewind","2030",59.7695465,246.467273886473,65.5672430157668,14685.7069052512,804.120830512492,4079.91818339467
"ira_mid","offshorewind","2035",30707.9386555,126628.063458606,33686.6346532917,7545109.72839834,413135.025794236,2096149.0362846
"ira_mid","solar","2025",3419.98464405,14102.7386238007,3751.72604440987,840309.071158474,46011.4063658398,233450.95208628
"ira_mid","solar","2030",15923.672036865,65663.2728037911,17468.2816799438,3912533.95889065,214232.115398306,1086962.89153907
"ira_mid","solar","2035",115856.34072038,477748.25361632,127094.503668865,28466541.2834347,1558695.06087369,7908448.68074492
"ira_mid","wind","2025",61310.215403565,252820.416696806,67257.3581048428,15064257.7439428,824848.509252358,4185085.50425172
"ira_mid","wind","2030",204505.87881746,843305.820396291,224343.121870221,50248221.2528422,2751358.28777592,13959738.7374934
"ira_mid","wind","2035",206962.34090159,853435.352051362,227037.862852222,50851787.522019,2784406.76223963,14127418.8507073
