"year","scenario","technology","Glass_mean","Glass_min","Glass_max","Terbium_mean","Terbium_min","Terbium_max","Tin_mean","Tin_min","Tin_max","Vanadium_mean","Vanadium_min","Vanadium_max","Yttrium_mean","Yttrium_min","Yttrium_max","Zinc_mean","Zinc_min","Zinc_max","Aluminum_mean","Aluminum_min","Aluminum_max","Boron_mean","Boron_min","Boron_max","Cadmium_mean","Cadmium_min","Cadmium_max","Cement_mean","Cement_min","Cement_max","Chromium_mean","Chromium_min","Chromium_max","Copper_mean","Copper_min","Copper_max","Dysprosium_mean","Dysprosium_min","Dysprosium_max","Fiberglass_mean","Fiberglass_min","Fiberglass_max","Gallium_mean","Gallium_min","Gallium_max","Germanium_mean","Germanium_min","Germanium_max","Manganese_mean","Manganese_min","Manganese_max","Molybdenum_mean","Molybdenum_min","Molybdenum_max","Neodymium_mean","Neodymium_min","Neodymium_max","Nickel_mean","Nickel_min","Nickel_max","Niobium_mean","Niobium_min","Niobium_max","Praseodymium_mean","Praseodymium_min","Praseodymium_max","Selenium_mean","Selenium_min","Selenium_max","Silicon_mean","Silicon_min","Silicon_max","Silver_mean","Silver_min","Silver_max","Steel_mean","Steel_min","Steel_max","Tellurium_mean","Tellurium_min","Tellurium_max","Indium_mean","Indium_min","Indium_max","Lead_mean","Lead_min","Lead_max","Magnesium_mean","Magnesium_min","Magnesium_max","model"
2025,"IRA","Biomass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"IRA","Coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"IRA","Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"IRA","Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"IRA","Nuclear New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028125,0.0135,0.0405,0,0,0,0,0,0,27.6396666666667,14.7,46.065,0,0,0,0.96885,0.5445,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25725,0.15675,0.35025,0,0,0,0,0,0,0.15105,0.03675,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.00075,0.00075,23.98775,5.55525,37.8,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"IRA","onshore wind",0,0,0,0.12271708125,0.00510435,0.510435,0,0,0,1.5347079,1.531305,1.5381108,0.0208427625,0.007656525,0.034029,93.57975,93.57975,93.57975,34.11541575,0.850725,224.5914,0.045372,0.0170145,0.102087,0,0,0,920.37952725,658.7503965,1243.3345875,8.957964105,4.0664655,15.347079,59.5562070000334,15.176934,261.172575,0.228696600638298,0.01531305,0.850725,147.23214,125.9073,162.99891,0,0,0,0,0,0,13.441455,13.27131,13.6116,1.7112333375,1.28119185,2.0247255,2.0918885373,0.1054899,5.274495,4.25048386153846,1.8886095,7.48638,0.64144665,0.64144665,0.64144665,0.31261308,0.0170145,1.2760875,0,0,0,0,0,0,0,0,0,2081.53159846875,918.783,3470.958,0,0,0,0,0,0,114.33744,114.33744,114.33744,0,0,0,"EPS"
2025,"IRA","utility-scale solar pv",2248.1273525,1894.529205,2483.46525,0,0,0,20.470849275,20.470849275,20.470849275,0,0,0,0,0,0,0,0,0,775.66602324375,388.591355475,1365.9058875,0,0,0,0,0,0,273.3644808875,171.962229525,372.9455244,0,0,0,92.7461386090909,8.86951875,267.14990475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404450055,0.035478075,0.0461214975,0,0,0,0,0,0,0,0,0,164.388843115,0.1419123,319.302675,1.19317348809688,0.1419123,2.9801583,1984.99829625,1983.2243925,1986.7722,0,0,0,0,0,0,2.748663860625,0.19619375475,11.9206332,1.8980770125,1.8980770125,1.8980770125,"EPS"
2025,"Ref","Biomass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"Ref","Coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"Ref","Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"Ref","Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0591575,2.87589,3.242425,0,0,0,0,0,0,156.739529375,103.616625,220.4849,0,0,0,6.918348125,6.400265,7.584455,0,0,0,0,0,0,0,0,0,0,0,0,2.0441375,1.57892,2.8054025,0,0,0,0,0,0,0.136275833333333,0.11278,0.1550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.1253,437.445425,720.805175,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"Ref","Nuclear New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028125,0.0135,0.0405,0,0,0,0,0,0,27.6396666666667,14.7,46.065,0,0,0,0.96885,0.5445,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25725,0.15675,0.35025,0,0,0,0,0,0,0.15105,0.03675,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.00075,0.00075,23.98775,5.55525,37.8,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
2025,"Ref","onshore wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EPS"
