"technology","Material","max","min","value"
"Coal","Aluminum",0.624,0.255,0.39475
"Coal","Boron",0,0,0
"Coal","Cadmium",0,0,0
"Coal","Cement",28.531,4.668,14.525
"Coal","Chromium",0,0,0
"Coal","Copper",0.538,0.454,0.49075
"Coal","Dysprosium",0,0,0
"Coal","Fiberglass",0,0,0
"Coal","Gadium",0,0,0
"Coal","Gallium",0,0,0
"Coal","Germanium",0,0,0
"Coal","Glass",0,0,0
"Coal","Indium",0,0,0
"Coal","Lead",0,0,0
"Coal","Magnesium",0,0,0
"Coal","Manganese",0.199,0.112,0.145
"Coal","Molybdenum",0,0,0
"Coal","Neodymium",0,0,0
"Coal","Nickel",0.011,0.008,0.00966666666666667
"Coal","Niobium",0,0,0
"Coal","Praseodymium",0,0,0
"Coal","Selenium",0,0,0
"Coal","Silicon",0,0,0
"Coal","Silver",0,0,0
"Coal","Steel",62.2,44.425,52.655
"Coal","Tellurium",0,0,0
"Coal","Terbium",0,0,0
"Coal","Tin",0,0,0
"Coal","Vanadium",0,0,0
"Coal","Yttrium",0,0,0
"Coal","Zinc",0,0,0
"Gas","Aluminum",0.23,0.204,0.217
"Gas","Boron",0,0,0
"Gas","Cadmium",0,0,0
"Gas","Cement",15.64,7.35,11.11825
"Gas","Chromium",0,0,0
"Gas","Copper",0.538,0.454,0.49075
"Gas","Dysprosium",0,0,0
"Gas","Fiberglass",0,0,0
"Gas","Gadium",0,0,0
"Gas","Gallium",0,0,0
"Gas","Germanium",0,0,0
"Gas","Glass",0,0,0
"Gas","Indium",0,0,0
"Gas","Lead",0,0,0
"Gas","Magnesium",0,0,0
"Gas","Manganese",0.199,0.112,0.145
"Gas","Molybdenum",0,0,0
"Gas","Neodymium",0,0,0
"Gas","Nickel",0.011,0.008,0.00966666666666667
"Gas","Niobium",0,0,0
"Gas","Praseodymium",0,0,0
"Gas","Selenium",0,0,0
"Gas","Silicon",0,0,0
"Gas","Silver",0,0,0
