"technology","row_id","Material_Technology","Intensity_Distribution_Value","year","scenario","capacity_new","material_demand","Material"
"Coal",27,"Manganese .Coal",148.376430710121,2025,"IRA",-21.7548620776517,0,"Manganese"
"Coal",27,"Manganese .Coal",148.376430710121,2025,"Ref",-18.0254523154354,0,"Manganese"
"Coal",27,"Manganese .Coal",148.376430710121,2030,"IRA",-5.82711506074089,0,"Manganese"
"Coal",27,"Manganese .Coal",148.376430710121,2030,"Ref",-1.40684744154277,0,"Manganese"
"Coal",27,"Manganese .Coal",148.376430710121,2035,"IRA",-3.06863443089608,0,"Manganese"
"Coal",27,"Manganese .Coal",148.376430710121,2035,"Ref",-2.79738425183609,0,"Manganese"
"Coal",17,"Aluminum.Coal",344.55256794023,2025,"IRA",-21.7548620776517,0,"Aluminum"
"Coal",17,"Aluminum.Coal",344.55256794023,2025,"Ref",-18.0254523154354,0,"Aluminum"
"Coal",17,"Aluminum.Coal",344.55256794023,2030,"IRA",-5.82711506074089,0,"Aluminum"
"Coal",17,"Aluminum.Coal",344.55256794023,2030,"Ref",-1.40684744154277,0,"Aluminum"
"Coal",17,"Aluminum.Coal",344.55256794023,2035,"IRA",-3.06863443089608,0,"Aluminum"
"Coal",17,"Aluminum.Coal",344.55256794023,2035,"Ref",-2.79738425183609,0,"Aluminum"
"Coal",89,"Manganese .Coal",141.963099041251,2025,"IRA",-21.7548620776517,0,"Manganese"
"Coal",89,"Manganese .Coal",141.963099041251,2025,"Ref",-18.0254523154354,0,"Manganese"
"Coal",89,"Manganese .Coal",141.963099041251,2030,"IRA",-5.82711506074089,0,"Manganese"
"Coal",89,"Manganese .Coal",141.963099041251,2030,"Ref",-1.40684744154277,0,"Manganese"
"Coal",89,"Manganese .Coal",141.963099041251,2035,"IRA",-3.06863443089608,0,"Manganese"
"Coal",89,"Manganese .Coal",141.963099041251,2035,"Ref",-2.79738425183609,0,"Manganese"
"Coal",88,"Manganese .Coal",132.710036288734,2025,"IRA",-21.7548620776517,0,"Manganese"
