"scenario","technology","year","totalspurdistance","Cu","Glass","Cement","Aluminum","Steel"
"REF","offshore wind","2030",7017.376873,28937.0398305146,7698.06835936446,165236.615800953,94409.5990277576,479011.891179164
"REF","offshore wind","2035",30707.9386555,126628.063458606,33686.6346532917,723073.016240735,413135.025794236,2096149.0362846
"REF","utility-scale solar pv","2025",8051.78622262,33202.5574295735,8832.8162899735,189593.623180978,108326.219681828,549621.5203586
"REF","utility-scale solar pv","2030",14380.895924215,59301.4406506558,15775.8549807209,338623.764649986,193476.08692486,981651.730864499
"REF","utility-scale solar pv","2035",23996.521122495,98952.6856092259,26324.2039484374,565040.757114423,322841.708267457,1638022.180173
"REF","Onshore Wind","2025",47938.312575655,197679.686514592,52588.3694033677,1128792.80685165,644947.100639339,3272308.46830455
"REF","Onshore Wind","2030",72551.57007941,299175.562485748,79589.1336831895,1708355.71865792,976086.187758517,4952429.57884611
"REF","Onshore Wind","2035",31995.42329434,131937.168976173,35099.0063900237,753389.13128882,430456.442429982,2184033.79192424
"IRA","offshore wind","2030",59.7695465,246.467273886473,65.5672430157668,1407.38024625939,804.120830512492,4079.91818339467
"IRA","offshore wind","2035",30707.9386555,126628.063458606,33686.6346532917,723073.016240735,413135.025794236,2096149.0362846
"IRA","utility-scale solar pv","2025",3419.98464405,14102.7386238007,3751.72604440987,80529.6193864618,46011.4063658398,233450.95208628
"IRA","utility-scale solar pv","2030",15923.672036865,65663.2728037911,17468.2816799438,374951.171372814,214232.115398306,1086962.89153907
"IRA","utility-scale solar pv","2035",115856.34072038,477748.25361632,127094.503668865,2728043.54193587,1558695.06087369,7908448.68074492
"IRA","Onshore Wind","2025",61310.215403565,252820.416696806,67257.3581048428,1443658.03499757,824848.509252358,4185085.50425172
"IRA","Onshore Wind","2030",204505.87881746,843305.820396291,224343.121870221,4815454.54074359,2751358.28777592,13959738.7374934
"IRA","Onshore Wind","2035",206962.34090159,853435.352051362,227037.862852222,4873296.30825457,2784406.76223963,14127418.8507073
